FileName,CWrotations,CCWrotations,Thrusts,WorldWraps,FortressCollisions,fortressDestructions,shipDeaths,Total,Points,Velocity,Control,Speed,Bpnt,Bmis,WorldWrapper,delWorldWrapper,discrete_thrusts,discrete_CWrotations,discrete_CCWrotations,Constant_Accelerations,cumulativeDistanceX,varianceX
753/p753-key-1.gam,983,392,129,46,2,0,8,-3426,-2150,-210,-736,-330,0,0,0,0,39,167,43,0,319939.528118806,12217.5654661774
753/p753-key-10.gam,690,353,651,65,8,0,4,-3727,-1000,-924,-1503,-300,1,0,0,0,62,78,30,0,447874.493109731,15349.151238323
753/p753-key-2.gam,626,214,85,37,2,0,17,-4907,-4454,56,-369,-140,0,0,6,2,17,121,70,0,132670.83845183,6409.29532825805
753/p753-key-3.gam,523,393,139,48,3,0,9,-3701,-2460,-126,-875,-240,0,0,2,1,21,68,41,0,259903.831501415,11380.9424757561
753/p753-key-4.gam,416,158,77,28,0,0,8,-1704,-1908,518,-204,-110,1,0,3,1,15,112,23,0,131109.442258066,7104.66100432605
753/p753-key-5.gam,766,750,360,46,2,0,5,-3042,-1596,-196,-880,-370,0,0,4,2,14,42,50,2,329340.841022933,14412.9717442998
753/p753-key-6.gam,1183,966,1091,72,5,0,4,-3917,-950,-980,-1817,-170,1,2,0,0,25,35,33,5,471231.448928458,18142.8001933279
753/p753-key-7.gam,610,462,231,54,5,0,5,-3381,-1152,-966,-1183,-80,2,0,4,3,22,47,38,0,262994.920762333,12102.9591034091
753/p753-key-8.gam,195,305,188,54,2,0,7,-4152,-1940,-896,-1116,-200,1,0,10,3,23,55,38,1,232065.458830371,11045.2640435179
753/p753-key-9.gam,500,198,640,51,3,0,7,-3936,-1700,-728,-1028,-480,1,0,0,0,66,70,32,0,407459.117015063,16678.5213143861
788/p788-joy-1.gam,699,528,454,23,10,0,9,-2409,-2256,-84,101,-170,1,0,0,0,70,105,72,0,387313.4437653,11087.047417491
788/p788-joy-10.gam,635,244,392,9,6,1,7,-1413,-2158,168,567,10,0,0,0,0,86,127,51,0,426098.918260367,10737.4076294537
788/p788-joy-2.gam,695,383,424,16,6,0,7,-1230,-2088,434,394,30,1,0,0,0,76,111,65,0,415322.330063464,7997.73428472763
788/p788-joy-3.gam,738,233,432,14,2,1,5,-392,-1108,224,432,60,2,0,0,0,74,125,39,0,419741.179779905,8678.33168566729
788/p788-joy-4.gam,708,464,535,16,8,0,8,-1490,-2026,168,328,40,0,0,0,0,90,117,71,0,430506.217347807,8968.27224318928
788/p788-joy-5.gam,639,242,474,2,4,0,6,-104,-1678,532,902,140,1,1,0,0,97,130,50,0,383367.872469085,6593.23234853107
788/p788-joy-6.gam,500,212,357,15,6,1,6,-571,-1392,518,393,-90,2,1,0,0,77,106,33,0,445826.124215056,10033.7219840676
788/p788-joy-7.gam,629,271,380,11,5,2,5,52,-926,294,534,150,2,1,0,0,78,121,43,0,360618.184595322,8425.51236555398
788/p788-joy-8.gam,548,175,332,9,3,1,5,-237,-1421,518,626,40,0,0,0,0,66,119,34,0,376536.659864198,8661.73765508913
788/p788-joy-9.gam,677,293,439,13,5,1,8,-2162,-2766,126,448,30,0,1,0,0,86,113,54,0,429936.246396575,9459.04703852595
788/p788-key-1.gam,758,310,578,23,3,0,7,-2464,-1800,-280,-4,-380,1,0,0,0,125,123,61,0,470906.885154754,14610.3130431849
788/p788-key-10.gam,764,204,531,1,1,1,7,-168,-1546,350,1048,-20,1,1,0,0,151,156,47,0,391862.380944203,7021.32099038895
788/p788-key-2.gam,724,236,676,11,3,0,5,-1522,-1234,-420,432,-300,3,0,0,0,149,146,53,0,441981.568562166,12271.0319647405
788/p788-key-3.gam,587,169,339,8,2,0,7,-124,-1568,616,778,50,1,0,0,0,98,126,45,0,382393.219969888,7387.6844768918
788/p788-key-4.gam,515,158,341,5,3,0,7,370,-1204,728,826,20,4,0,0,0,93,114,47,0,405245.155235911,9634.81077339849
788/p788-key-5.gam,614,198,368,7,5,0,6,-68,-1482,560,774,80,1,0,0,0,119,140,48,0,402163.592821019,7022.56975986224
788/p788-key-6.gam,616,141,421,2,3,1,5,-597,-2140,602,931,10,1,1,0,0,128,138,36,0,412788.876318839,8482.21090610418
788/p788-key-7.gam,540,158,350,6,6,2,4,1202,-568,798,792,180,2,1,0,0,107,137,43,0,422813.236432824,7928.50018649811
788/p788-key-8.gam,645,237,510,5,5,2,6,-155,-1259,168,816,120,2,0,0,0,141,144,51,0,425378.847926991,7362.78934707213
788/p788-key-9.gam,696,293,535,4,6,0,5,6,-1164,252,938,-20,2,0,0,0,133,132,60,0,402214.709542919,6606.0137683427
790/p790-joy-1.gam,791,731,563,42,10,0,6,-3230,-1764,-602,-684,-180,1,0,5,0,59,66,59,0,432204.038902069,14946.3312269779
790/p790-joy-10.gam,584,634,436,50,8,0,5,-3176,-1460,-560,-1026,-130,0,1,4,0,44,55,47,0,411592.376320166,16890.3963811877
790/p790-joy-2.gam,492,848,444,52,4,0,4,-2976,-1000,-686,-1100,-190,0,0,8,2,53,52,65,0,464915.511819416,17173.1466768482
790/p790-joy-3.gam,400,589,237,58,4,0,3,-3477,-1107,-854,-1306,-210,0,0,12,2,35,43,37,0,406275.144892838,16609.1545326555
790/p790-joy-4.gam,558,930,292,66,7,0,5,-4393,-1816,-840,-1597,-140,0,0,14,3,29,53,52,0,435384.577570718,16946.7654609275
